"ShippedDate","OrderID","Subtotal"
"","10248","440.0"
"","10249","1863.4"
"","10250","1552.6"
"","10251","654.06"
"","10252","3597.9"
"","10253","1444.8"
"","10254","556.62"
"","10255","2490.5"
"","10256","517.8"
"","10257","1119.9"
"","10258","1614.88"
"","10259","100.8"
"","10260","1504.65"
"","10261","448.0"
"","10262","584.0"
"","10263","1873.8"
"","10264","695.625"
"","10265","1176.0"
"","10266","346.56"
"","10267","3536.6"
"","10268","1101.2"
"","10269","642.2"
"","10270","1376.0"
"","10271","48.0"
"","10272","1456.0"
"","10273","2037.28"
"","10274","538.6"
"","10275","291.84"
"","10276","420.0"
"","10277","1200.8"
"","10278","1488.8"
"","10279","351.0"
"","10280","613.2"
"","10281","86.5"
"","10282","155.4"
"","10283","1414.8"
"","10284","1170.375"
"","10285","1743.36"
"","10286","3016.0"
"","10287","819.0"
"","10288","80.1"
"","10289","479.4"
"","10290","2169.0"
"","10291","497.52"
"","10292","1296.0"
"","10293","848.7"
"","10294","1887.6"
"","10295","121.6"
"","10296","1050.6"
"","10297","1420.0"
"","10298","2645.0"
"","10299","349.5"
"","10300","608.0"
"","10301","755.0"
"","10302","2708.8"
"","10303","1117.8"
"","10304","954.4"
"","10305","3741.3"
"","10306","498.5"
"","10307","424.0"
"","10308","88.8"
"","10309","1762.0"
"","10310","336.0"
"","10311","268.8"
"","10312","1614.8"
"","10313","182.4"
"","10314","2094.3"
"","10315","516.8"
"","10316","2835.0"
"","10317","288.0"
"","10318","240.4"
"","10319","1191.2"
"","10320","516.0"
"","10321","144.0"
"","10322","112.0"
"","10323","164.4"
"","10324","5275.715"
"","10325","1497.0"
"","10326","982.0"
"","10327","1810.0"
"","10328","1168.0"
"","10329","4578.43"
"","10330","1649.0"
"","10331","88.5"
"","10332","1786.88"
"","10333","877.2"
"","10334","144.8"
"","10335","2036.16"
"","10336","285.12"
"","10337","2467.0"
"","10338","934.5"
"","10339","3354.0"
"","10340","2436.18"
"","10341","352.6"
"","10342","1840.64"
"","10343","1584.0"
"","10344","2296.0"
"","10345","2924.8"
"","10346","1618.88"
"","10347","814.42"
