"ShipName","ShipAddress","ShipCity","ShipRegion","ShipPostalCode","ShipCountry","CustomerID","CustomerName","Address","City","Region","PostalCode","Country","Salesperson","OrderID","OrderDate","RequiredDate","ShippedDate","ShipperName","ProductID","ProductName","UnitPrice","Quantity","Discount","ExtendedPrice","Freight"
"Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","North America","87110","USA","ALFKI","Alfreds Futterkiste","Obere Str. 57","Berlin","Western Europe","12209","Germany","0.0","16198","","","","United Package","1","Chai","18","50","0.0","900.0","272.25"
"Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","North America","87110","USA","ALFKI","Alfreds Futterkiste","Obere Str. 57","Berlin","Western Europe","12209","Germany","0.0","16198","","","","United Package","2","Chang","19","19","0.0","361.0","272.25"
"Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","North America","87110","USA","ALFKI","Alfreds Futterkiste","Obere Str. 57","Berlin","Western Europe","12209","Germany","0.0","16198","","","","United Package","3","Aniseed Syrup","10","10","0.0","100.0","272.25"
"Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","North America","87110","USA","ALFKI","Alfreds Futterkiste","Obere Str. 57","Berlin","Western Europe","12209","Germany","0.0","16198","","","","United Package","4","Chef Anton's Cajun Seasoning","22","4","0.0","88.0","272.25"
"Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","North America","87110","USA","ALFKI","Alfreds Futterkiste","Obere Str. 57","Berlin","Western Europe","12209","Germany","0.0","16198","","","","United Package","5","Chef Anton's Gumbo Mix","21.35","18","0.0","384.3","272.25"
"Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","North America","87110","USA","ALFKI","Alfreds Futterkiste","Obere Str. 57","Berlin","Western Europe","12209","Germany","0.0","16198","","","","United Package","6","Grandma's Boysenberry Spread","25","31","0.0","775.0","272.25"
"Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","North America","87110","USA","ALFKI","Alfreds Futterkiste","Obere Str. 57","Berlin","Western Europe","12209","Germany","0.0","16198","","","","United Package","8","Northwoods Cranberry Sauce","40","46","0.0","1840.0","272.25"
"Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","North America","87110","USA","ALFKI","Alfreds Futterkiste","Obere Str. 57","Berlin","Western Europe","12209","Germany","0.0","16198","","","","United Package","9","Mishi Kobe Niku","97","12","0.0","1164.0","272.25"
"Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","North America","87110","USA","ALFKI","Alfreds Futterkiste","Obere Str. 57","Berlin","Western Europe","12209","Germany","0.0","16198","","","","United Package","15","Genen Shouyu","15.5","30","0.0","465.0","272.25"
"Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","North America","87110","USA","ALFKI","Alfreds Futterkiste","Obere Str. 57","Berlin","Western Europe","12209","Germany","0.0","16198","","","","United Package","17","Alice Mutton","39","5","0.0","195.0","272.25"
"Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","North America","87110","USA","ALFKI","Alfreds Futterkiste","Obere Str. 57","Berlin","Western Europe","12209","Germany","0.0","16198","","","","United Package","18","Carnarvon Tigers","62.5","46","0.0","2875.0","272.25"
"Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","North America","87110","USA","ALFKI","Alfreds Futterkiste","Obere Str. 57","Berlin","Western Europe","12209","Germany","0.0","16198","","","","United Package","21","Sir Rodney's Scones","10","46","0.0","460.0","272.25"
"Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","North America","87110","USA","ALFKI","Alfreds Futterkiste","Obere Str. 57","Berlin","Western Europe","12209","Germany","0.0","16198","","","","United Package","22","Gustaf's Knäckebröd","21","28","0.0","588.0","272.25"
"Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","North America","87110","USA","ALFKI","Alfreds Futterkiste","Obere Str. 57","Berlin","Western Europe","12209","Germany","0.0","16198","","","","United Package","26","Gumbär Gummibärchen","31.23","28","0.0","874.44","272.25"
"Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","North America","87110","USA","ALFKI","Alfreds Futterkiste","Obere Str. 57","Berlin","Western Europe","12209","Germany","0.0","16198","","","","United Package","27","Schoggi Schokolade","43.9","14","0.0","614.6","272.25"
"Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","North America","87110","USA","ALFKI","Alfreds Futterkiste","Obere Str. 57","Berlin","Western Europe","12209","Germany","0.0","16198","","","","United Package","29","Thüringer Rostbratwurst","123.79","26","0.0","3218.54","272.25"
"Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","North America","87110","USA","ALFKI","Alfreds Futterkiste","Obere Str. 57","Berlin","Western Europe","12209","Germany","0.0","16198","","","","United Package","37","Gravad lax","26","5","0.0","130.0","272.25"
"Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","North America","87110","USA","ALFKI","Alfreds Futterkiste","Obere Str. 57","Berlin","Western Europe","12209","Germany","0.0","16198","","","","United Package","38","Côte de Blaye","263.5","49","0.0","12911.5","272.25"
"Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","North America","87110","USA","ALFKI","Alfreds Futterkiste","Obere Str. 57","Berlin","Western Europe","12209","Germany","0.0","16198","","","","United Package","40","Boston Crab Meat","18.4","41","0.0","754.4","272.25"
"Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","North America","87110","USA","ALFKI","Alfreds Futterkiste","Obere Str. 57","Berlin","Western Europe","12209","Germany","0.0","16198","","","","United Package","45","Rogede sild","9.5","27","0.0","256.5","272.25"
"Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","North America","87110","USA","ALFKI","Alfreds Futterkiste","Obere Str. 57","Berlin","Western Europe","12209","Germany","0.0","16198","","","","United Package","46","Spegesild","12","27","0.0","324.0","272.25"
"Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","North America","87110","USA","ALFKI","Alfreds Futterkiste","Obere Str. 57","Berlin","Western Europe","12209","Germany","0.0","16198","","","","United Package","48","Chocolade","12.75","6","0.0","76.5","272.25"
"Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","North America","87110","USA","ALFKI","Alfreds Futterkiste","Obere Str. 57","Berlin","Western Europe","12209","Germany","0.0","16198","","","","United Package","49","Maxilaku","20","31","0.0","620.0","272.25"
"Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","North America","87110","USA","ALFKI","Alfreds Futterkiste","Obere Str. 57","Berlin","Western Europe","12209","Germany","0.0","16198","","","","United Package","53","Perth Pasties","32.8","12","0.0","393.6","272.25"
"Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","North America","87110","USA","ALFKI","Alfreds Futterkiste","Obere Str. 57","Berlin","Western Europe","12209","Germany","0.0","16198","","","","United Package","55","Pâté chinois","24","11","0.0","264.0","272.25"
"Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","North America","87110","USA","ALFKI","Alfreds Futterkiste","Obere Str. 57","Berlin","Western Europe","12209","Germany","0.0","16198","","","","United Package","56","Gnocchi di nonna Alice","38","46","0.0","1748.0","272.25"
"Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","North America","87110","USA","ALFKI","Alfreds Futterkiste","Obere Str. 57","Berlin","Western Europe","12209","Germany","0.0","16198","","","","United Package","57","Ravioli Angelo","19.5","26","0.0","507.0","272.25"
"Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","North America","87110","USA","ALFKI","Alfreds Futterkiste","Obere Str. 57","Berlin","Western Europe","12209","Germany","0.0","16198","","","","United Package","58","Escargots de Bourgogne","13.25","47","0.0","622.75","272.25"
